sku_id,category,brand,customer_segment,hour_of_day,day_of_week,is_weekend,is_festival,inventory_level,inventory_days_cover,competitor_price,click_through_rate,conversion_rate,units_sold_last_5m,units_sold_last_1h,base_cost,current_price,optimal_price
SKU-1105,beauty,brand_c,budget,20,3,0,0,117,14.95,1354.55,0.0109,0.074,3,29,933.15,1393.72,1731.43
SKU-1106,fashion,brand_c,standard,10,1,0,0,37,12.05,1676.73,0.0782,0.0554,2,17,1170.98,1772.69,1896.96
SKU-1107,fashion,brand_a,premium,14,4,0,0,120,18.57,2093.06,0.0937,0.0726,3,20,1357.71,2025.74,2633.46
SKU-1108,electronics,brand_a,budget,18,1,0,0,143,15.85,1220.79,0.1194,0.0089,4,12,855.28,1259.66,1325.09
SKU-1109,grocery,brand_a,standard,12,3,0,0,160,7.04,275.86,0.085,0.0514,7,25,234.84,272.6,304.77
SKU-1110,fashion,brand_d,budget,1,3,0,0,176,8.72,2251.79,0.0759,0.0152,1,18,1711.98,2275.38,2276.38
SKU-1111,electronics,brand_d,budget,5,4,0,0,158,25.88,1911.92,0.1053,0.0129,4,18,1266.7,1868.78,1934.52
SKU-1112,fashion,brand_a,budget,8,6,1,0,133,14.18,349.67,0.0154,0.0764,5,19,252.82,368.98,400.19
SKU-1113,home,brand_b,budget,3,4,0,0,140,10.43,1321.8,0.1489,0.0749,6,24,1199.75,1276.27,1659.15
SKU-1114,electronics,brand_b,standard,12,1,0,0,23,26.63,1355.84,0.0592,0.0672,2,13,889.49,1336.72,1654.38
SKU-1115,grocery,brand_d,budget,0,1,0,0,65,17.64,1273.76,0.1329,0.0441,6,16,1141.13,1326.23,1466.53
SKU-1116,beauty,brand_b,standard,3,3,0,1,114,19.68,1610.8,0.0344,0.048,5,27,1167.58,1678.13,2181.57
SKU-1117,beauty,brand_a,premium,19,4,0,0,10,8.46,3534.05,0.1114,0.0575,3,22,2187.67,3742.58,4865.35
SKU-1118,fashion,brand_c,premium,3,2,0,0,122,6.42,1397.32,0.0418,0.0668,2,18,858.4,1491.54,1552.85
SKU-1119,home,brand_a,standard,0,1,0,0,79,13.34,270.99,0.0572,0.0575,3,24,230.93,268.0,348.4
SKU-1120,home,brand_c,loyal,10,4,0,0,53,12.2,1858.61,0.0288,0.0123,1,24,1371.54,1991.61,2057.57
SKU-1121,beauty,brand_d,premium,20,0,0,0,79,22.29,1397.19,0.15,0.0216,5,16,764.29,1479.2,1474.2
SKU-1122,electronics,brand_a,standard,5,5,1,0,11,7.04,2757.35,0.0601,0.057,3,23,1689.3,2873.99,3736.19
SKU-1123,fashion,brand_d,standard,9,5,1,0,20,17.24,2508.13,0.019,0.0463,2,30,1881.6,2462.96,3194.01
SKU-1124,electronics,brand_c,budget,18,0,0,0,35,13.29,1667.72,0.0401,0.0153,6,17,1049.74,1746.99,1754.37
SKU-1125,home,brand_a,standard,21,5,1,0,7,20.8,1957.37,0.0422,0.0456,2,26,1666.11,2061.28,2679.66
SKU-1126,fashion,brand_a,standard,7,3,0,1,126,26.42,2693.5,0.0896,0.0585,6,26,1979.37,2814.01,3369.2
SKU-1127,electronics,brand_a,loyal,3,5,1,0,85,5.61,3417.67,0.041,0.0456,5,30,2167.36,3367.85,4378.2
SKU-1128,electronics,brand_d,loyal,5,5,1,0,21,23.96,2422.29,0.1416,0.0194,4,20,1503.94,2459.6,2944.11
SKU-1129,home,brand_c,budget,19,2,0,1,163,22.66,2354.3,0.0115,0.0418,6,28,2021.92,2435.61,3068.34
SKU-1130,electronics,brand_b,loyal,8,5,1,0,143,19.22,969.82,0.0549,0.0309,6,33,549.71,942.85,1079.93
SKU-1131,grocery,brand_c,premium,20,5,1,0,100,5.06,996.9,0.058,0.06,5,19,713.22,1039.67,1297.72
SKU-1132,home,brand_b,premium,11,4,0,0,27,20.95,812.04,0.0132,0.0275,6,17,572.28,786.03,926.33
SKU-1133,fashion,brand_b,loyal,10,2,0,0,59,11.23,2150.65,0.0648,0.0184,3,17,1534.88,2184.69,2439.24
SKU-1134,home,brand_c,standard,17,1,0,0,167,27.19,2175.38,0.0317,0.053,4,28,1629.84,2232.92,2294.16
SKU-1135,electronics,brand_a,standard,23,2,0,0,67,12.88,3335.33,0.0294,0.0542,6,13,2056.52,3488.78,3947.31
SKU-1136,grocery,brand_d,loyal,17,2,0,0,41,5.11,1955.58,0.0215,0.0198,5,13,1556.84,2109.56,2170.57
SKU-1137,home,brand_d,budget,5,2,0,0,173,21.75,316.39,0.1121,0.0328,0,19,283.0,321.81,347.96
SKU-1138,beauty,brand_d,premium,7,5,1,0,7,22.15,3402.12,0.0278,0.0082,4,25,1862.02,3448.22,4005.05
SKU-1139,electronics,brand_a,premium,2,5,1,0,179,12.6,1076.44,0.0964,0.0381,5,24,594.18,1079.44,1177.58
SKU-1140,home,brand_b,loyal,14,2,0,0,161,22.79,1978.27,0.1438,0.0426,5,19,1445.07,2054.7,2100.64
SKU-1141,home,brand_b,budget,23,1,0,0,172,18.08,2290.24,0.0279,0.0363,8,13,2062.43,2412.22,2753.8
SKU-1142,grocery,brand_c,premium,7,5,1,0,159,19.11,2269.3,0.1158,0.021,7,27,1555.0,2398.72,2355.17
SKU-1143,home,brand_b,budget,6,0,0,0,171,10.92,1189.42,0.0844,0.0793,6,14,1035.56,1151.7,1422.27
SKU-1144,home,brand_b,loyal,22,3,0,0,170,6.81,1240.2,0.0376,0.0554,7,11,967.97,1216.9,1523.07
SKU-1145,fashion,brand_a,standard,0,1,0,1,113,4.49,283.01,0.0514,0.0455,2,30,213.37,292.44,380.17
SKU-1146,fashion,brand_c,standard,5,4,0,0,48,21.55,2324.79,0.0118,0.0689,2,14,1712.58,2345.32,2874.82
SKU-1147,home,brand_c,loyal,9,3,0,0,70,27.1,302.15,0.0783,0.0271,5,15,214.34,315.03,331.33
SKU-1148,fashion,brand_c,standard,22,0,0,0,86,16.49,2528.05,0.0211,0.0195,7,28,2020.91,2636.62,3264.83
SKU-1149,electronics,brand_b,standard,23,2,0,0,40,13.21,1833.31,0.0796,0.0398,3,16,1120.78,1892.32,2128.75
SKU-1150,grocery,brand_d,standard,21,3,0,0,58,1.69,203.33,0.0546,0.0656,2,19,171.87,196.17,255.02
SKU-1151,grocery,brand_c,standard,20,5,1,0,163,25.32,1492.65,0.0832,0.0574,4,24,1276.15,1538.43,1885.69
SKU-1152,electronics,brand_a,premium,0,6,1,0,106,25.26,1532.06,0.0144,0.0265,7,18,911.65,1603.85,1906.99
SKU-1153,home,brand_b,premium,2,0,0,0,97,12.19,1835.11,0.0422,0.0336,7,14,1320.49,1819.08,2161.53
SKU-1154,electronics,brand_c,budget,21,4,0,0,18,20.65,317.35,0.0941,0.0542,5,18,215.57,316.7,411.71
SKU-1155,beauty,brand_a,standard,8,4,0,0,130,20.85,2330.9,0.1454,0.0706,2,17,1480.52,2494.13,2580.73
SKU-1156,fashion,brand_b,standard,3,0,0,0,153,3.48,1551.83,0.1148,0.0594,4,15,1150.74,1536.72,1749.59
SKU-1157,beauty,brand_d,budget,12,2,0,0,83,15.75,2164.65,0.1022,0.039,6,12,1545.33,2295.47,2528.5
SKU-1158,beauty,brand_b,premium,22,0,0,0,84,8.35,662.17,0.1013,0.026,4,8,375.22,644.85,749.24
SKU-1159,beauty,brand_c,standard,19,1,0,0,11,19.17,3172.36,0.0492,0.0419,3,20,2161.36,3395.87,4259.7
SKU-1160,electronics,brand_c,budget,10,2,0,0,47,5.69,1498.78,0.127,0.0106,4,18,950.68,1611.78,1560.84
SKU-1161,grocery,brand_b,standard,4,1,0,0,133,21.05,1711.87,0.0196,0.0191,5,14,1537.9,1746.27,1808.69
SKU-1162,electronics,brand_d,standard,18,4,0,0,78,13.59,488.16,0.0638,0.0351,10,13,308.34,480.41,568.24
SKU-1163,electronics,brand_a,premium,2,1,0,0,134,23.08,2096.61,0.0442,0.0574,4,20,1233.75,2123.92,2440.38
SKU-1164,home,brand_b,budget,2,1,0,0,74,22.23,306.32,0.0901,0.0751,0,15,244.75,320.62,356.11
SKU-1165,fashion,brand_c,budget,17,6,1,1,156,19.39,1416.09,0.0163,0.0238,8,27,1181.86,1427.07,1849.09
SKU-1166,grocery,brand_a,budget,4,3,0,0,96,2.1,1500.67,0.0895,0.0369,4,23,1373.24,1463.02,1787.44
SKU-1167,grocery,brand_d,standard,0,2,0,0,160,21.84,2186.83,0.1171,0.0546,4,11,1947.84,2295.67,2433.22
SKU-1168,fashion,brand_a,premium,23,5,1,0,138,17.49,2463.35,0.04,0.0354,2,23,1488.18,2445.43,2661.5
SKU-1169,grocery,brand_c,standard,12,5,1,0,35,4.54,1007.62,0.0817,0.0717,2,19,925.94,996.26,1295.14
SKU-1170,fashion,brand_c,budget,18,0,0,0,161,9.56,2247.79,0.0479,0.0357,3,16,1842.02,2237.24,2615.07
SKU-1171,home,brand_d,standard,16,2,0,0,165,27.92,1441.81,0.0879,0.0676,8,17,1068.74,1493.49,1489.62
SKU-1172,fashion,brand_a,standard,19,3,0,1,78,25.35,1583.2,0.0325,0.0798,5,31,1207.58,1597.32,2076.52
SKU-1173,grocery,brand_a,premium,16,0,0,0,162,9.32,1037.95,0.0561,0.0146,4,14,743.97,1093.13,1050.37
SKU-1174,electronics,brand_c,standard,17,4,0,0,175,14.47,2018.84,0.1458,0.0198,5,15,1229.45,2065.22,1957.62
SKU-1175,electronics,brand_d,premium,12,0,0,1,111,2.1,2751.81,0.1362,0.0159,5,26,1591.86,2689.71,3496.62
SKU-1176,fashion,brand_d,standard,3,6,1,0,169,27.59,1234.18,0.0894,0.0311,6,20,952.94,1288.27,1407.31
SKU-1177,grocery,brand_a,standard,18,2,0,0,14,27.1,378.19,0.1193,0.0398,3,14,328.76,394.75,513.18
SKU-1178,grocery,brand_b,standard,11,3,0,0,14,4.11,2313.48,0.0802,0.0379,3,22,1915.96,2478.85,2925.12
SKU-1179,beauty,brand_b,budget,14,5,1,0,172,10.31,2262.27,0.1246,0.062,6,14,1683.93,2329.92,2656.79
SKU-1180,grocery,brand_d,budget,7,3,0,0,173,2.62,701.99,0.1227,0.0752,4,24,587.25,757.23,776.19
SKU-1181,grocery,brand_c,premium,19,4,0,0,129,22.84,1451.99,0.031,0.0673,2,18,1079.37,1427.7,1773.04
SKU-1182,home,brand_b,standard,18,6,1,0,60,13.54,1977.59,0.0693,0.063,3,18,1630.96,1984.62,2580.01
SKU-1183,fashion,brand_a,standard,13,4,0,0,25,26.58,1908.92,0.0462,0.0524,4,13,1459.46,1982.23,2337.08
SKU-1184,beauty,brand_c,standard,4,2,0,0,107,4.77,1836.25,0.0357,0.0603,4,11,1198.41,1779.65,2044.45
SKU-1185,beauty,brand_b,budget,10,2,0,0,141,3.13,243.85,0.0531,0.0612,8,15,184.25,241.9,281.87
SKU-1186,fashion,brand_a,standard,6,4,0,0,150,26.03,2773.94,0.0611,0.0124,3,17,2087.05,2844.91,2798.35
SKU-1187,electronics,brand_a,standard,14,1,0,0,94,26.0,2353.33,0.0736,0.0795,6,19,1581.9,2534.94,3180.28
SKU-1188,beauty,brand_c,budget,1,0,0,0,154,24.06,2376.36,0.0782,0.0543,4,17,1799.99,2557.82,2870.29
SKU-1189,fashion,brand_c,loyal,10,4,0,0,159,8.44,3405.18,0.026,0.0375,1,14,2178.75,3422.88,3334.05
SKU-1190,grocery,brand_b,budget,23,4,0,0,130,27.98,903.96,0.0336,0.0149,5,18,757.27,895.72,883.22
SKU-1191,fashion,brand_d,premium,5,4,0,0,31,4.58,306.9,0.0748,0.0752,3,24,207.42,320.36,413.16
SKU-1192,electronics,brand_c,standard,11,2,0,0,147,13.11,422.14,0.1256,0.0137,4,16,280.27,451.49,452.04
SKU-1193,grocery,brand_c,loyal,11,0,0,0,94,9.7,1728.55,0.0612,0.063,2,18,1414.43,1743.47,2198.02
SKU-1194,electronics,brand_a,premium,20,1,0,1,86,23.49,2105.15,0.0349,0.0364,4,26,1206.22,2189.03,2845.74
SKU-1195,electronics,brand_b,standard,22,3,0,0,158,21.73,1153.72,0.054,0.0578,3,13,709.81,1116.84,1269.76
SKU-1196,home,brand_d,standard,20,0,0,0,125,13.12,269.47,0.0787,0.0542,3,21,228.52,259.75,326.94
SKU-1197,grocery,brand_b,loyal,14,4,0,0,117,17.16,2548.69,0.1492,0.0281,7,16,1994.21,2476.26,2874.52
SKU-1198,electronics,brand_c,standard,10,1,0,0,67,25.03,2750.87,0.0163,0.0774,5,19,1906.65,2795.62,3634.31
SKU-1199,fashion,brand_d,budget,17,2,0,0,74,3.2,1017.51,0.0241,0.0163,3,16,806.57,1007.75,1102.3
SKU-1200,beauty,brand_c,premium,1,6,1,1,139,26.1,2217.26,0.0344,0.0117,6,35,1378.39,2285.01,2903.89
SKU-1201,grocery,brand_c,standard,15,2,0,0,50,27.14,241.24,0.0931,0.0692,0,28,208.97,246.22,310.42
SKU-1202,home,brand_a,standard,7,2,0,0,77,5.18,710.94,0.0112,0.0451,1,19,569.17,757.43,814.94
SKU-1203,electronics,brand_b,premium,11,5,1,0,132,23.54,3320.84,0.0634,0.0399,2,27,1826.72,3433.4,3647.91
SKU-1204,electronics,brand_a,loyal,15,0,0,0,71,4.65,1381.68,0.1202,0.032,3,20,833.2,1423.96,1640.56
SKU-1205,electronics,brand_a,budget,9,2,0,1,73,11.46,2708.54,0.0567,0.0127,10,34,1769.93,2725.95,3178.61
SKU-1206,electronics,brand_c,standard,7,3,0,0,59,13.25,2932.56,0.0442,0.0115,8,20,1789.53,2960.92,2977.53
SKU-1207,beauty,brand_a,standard,4,2,0,0,120,18.13,551.0,0.0702,0.0133,1,21,346.71,547.78,569.16
SKU-1208,electronics,brand_b,loyal,9,6,1,0,134,13.15,1524.63,0.1367,0.0115,4,28,888.44,1528.84,1560.72
SKU-1209,home,brand_b,loyal,0,5,1,0,75,8.15,1034.04,0.0437,0.0228,7,19,797.29,1097.43,1242.33
