generated_at,sku_id,recommended_price,ml_price,blended_price,confidence,detected_flash_sale,base_cost
2026-04-21T16:49:13.194465+00:00,SKU-1005,1981.43,2145.32,1981.43,0.98,0,1099.0
2026-04-21T16:49:17.226819+00:00,SKU-1005,1974.93,2136.04,1974.93,0.98,0,1099.0
2026-04-21T16:49:20.262071+00:00,SKU-1005,2023.65,2163.3,1994.01,0.98,0,1099.0
2026-04-21T16:49:20.651755+00:00,SKU-1005,2023.65,2163.3,1994.01,0.98,0,1099.0
2026-04-21T16:49:23.217861+00:00,SKU-1005,2023.65,2163.3,1994.01,0.98,0,1109.0
2026-04-21T16:49:23.517370+00:00,SKU-1005,2023.65,2173.31,2001.01,0.98,0,1119.0
2026-04-21T16:49:23.690003+00:00,SKU-1005,2023.65,2173.31,2001.01,0.98,0,1129.0
2026-04-21T16:49:24.026589+00:00,SKU-1005,2023.65,2194.31,2015.72,0.98,0,1149.0
2026-04-21T16:49:24.508323+00:00,SKU-1005,2023.65,2205.4,2023.48,0.98,0,1179.0
2026-04-21T16:49:24.699328+00:00,SKU-1005,2023.65,2209.74,2026.52,0.98,0,1189.0
2026-04-21T16:49:24.944724+00:00,SKU-1005,2023.65,2214.01,2029.5,0.98,0,1199.0
2026-04-21T16:49:25.126635+00:00,SKU-1005,2023.65,2225.49,2037.54,0.98,0,1209.0
2026-04-21T16:49:25.301081+00:00,SKU-1005,2023.65,2228.17,2039.42,0.98,0,1219.0
2026-04-21T16:49:27.441434+00:00,SKU-1005,2037.15,2228.17,2039.42,0.98,0,1219.0
2026-04-21T16:49:27.887462+00:00,SKU-1005,2064.15,2234.03,2043.52,0.98,0,1219.0
2026-04-21T16:49:28.140492+00:00,SKU-1005,2077.65,2239.74,2047.52,0.98,0,1219.0
2026-04-21T16:49:28.616463+00:00,SKU-1005,2118.15,2274.12,2071.58,0.98,0,1219.0
2026-04-21T16:49:29.118558+00:00,SKU-1005,2158.65,2301.54,2090.78,0.98,0,1219.0
2026-04-21T16:49:29.550719+00:00,SKU-1005,2185.65,2319.45,2103.31,0.98,0,1219.0
2026-04-21T16:49:57.818086+00:00,SKU-1005,2019.39,2199.55,2019.39,0.98,0,1219.0
2026-04-21T16:50:01.947178+00:00,SKU-1005,2035.79,2222.99,2035.79,0.98,0,1219.0
2026-04-21T16:50:02.383211+00:00,SKU-1005,2033.13,2219.19,2033.13,0.98,0,1219.0
2026-04-21T16:50:04.637259+00:00,SKU-1005,1930.52,2072.6,1930.52,0.98,0,1219.0
2026-04-21T16:50:08.002970+00:00,SKU-1005,1611.32,1616.6,1611.32,0.98,0,100.0
2026-04-21T16:50:13.499079+00:00,SKU-1005,202.5,1352.2,1426.24,0.98,0,100.0
2026-04-21T16:50:16.797317+00:00,SKU-1005,229.5,1352.2,1426.24,0.98,0,100.0
2026-04-21T16:50:17.456294+00:00,SKU-1005,229.5,1362.9,1433.73,0.83,0,100.0
2026-04-21T16:50:24.212795+00:00,SKU-1005,229.5,271.31,249.92,0.83,0,100.0
2026-04-21T16:50:27.827508+00:00,SKU-1005,229.5,272.15,250.5,0.83,0,100.0
2026-04-21T16:50:29.384452+00:00,SKU-1005,229.5,272.75,250.93,0.83,0,100.0
2026-04-21T16:50:30.105410+00:00,SKU-1005,229.5,268.04,247.63,0.83,0,100.0
2026-04-21T16:50:32.755645+00:00,SKU-1005,229.5,269.37,248.56,0.83,0,100.0
2026-04-21T16:50:34.454427+00:00,SKU-1005,229.5,269.05,248.33,0.83,0,100.0
2026-04-21T16:50:37.080575+00:00,SKU-1005,229.5,258.19,240.73,0.83,0,100.0
2026-04-21T16:50:41.376678+00:00,SKU-1005,229.5,255.08,238.56,0.83,0,100.0
2026-04-21T16:50:44.174612+00:00,SKU-1005,229.5,250.01,235.01,0.83,0,100.0
2026-04-21T16:50:46.691114+00:00,SKU-1005,229.5,238.24,226.77,0.83,0,100.0
